quedarse;bleiben
por ese motivo ;aus diesem Grund
el Instituto Nacional de Estadística;Nationales Statistikinstitut
realizar;durchführen
periódicamente;regelmäßig, von Zeit zu Zeit
para ello;hierzu
tener (g, ie) en cuenta ;berücksichtigen
la población ;Bevölkerung
mayor de ;älter als
reunir datos;Daten erheben, erfassen, sammeln 
emplear ;verwenden, aufwenden 
es decir;das heißt 
la política pública;Staatspolitik, Regierungspolitik 
tal y como ;so wie 
demostrar (ue);belegen, zeigen, beweisen 
existir;existieren, bestehen 
la diferencia de género;geschlechtsspezifische Unterschiede
